runtime	Celkový čas	1
run_times	Počet spuštění	1
endless_hardcore_lost_diff3	Na střední obtížnost	5	2
endless_hardcore_lost_diff4	Na těžkou obtížnost	5	2
endless_hardcore_lost_diff5	Na nejtěžší obtížnost	5	2
endless_hardcore_died_fled	Odchodem zákazníka	5	2
endless_hardcore_died_stunned	Omráčením zákazníka	5	2
endless_hardcore_died_mug	Rozbitím půllitru	5	2
endless_hardcore_died_barrel	Rozbitím sudu	5	2
endless_hardcore_died_trip	Zakopnutím	5	2
endless_hardcore_died_fall	Pádem ze schodů	5	2
endless_hardcore_died_mistake	Chybou při obsluze	5	2
endless_hardcore_died_punch	Praštěním hráče	5	2
endless_hardcore_died_messy	odchodem všech zákazníků kvůli nepořádku	5	2
endless_hardcore_quit_total	Dohromady	5	3
endless_hardcore_quit_diff1	Na nejjednodušší obtížnost	5	3
endless_hardcore_quit_diff2	Na jednoduchou obtížnost	5	3
endless_hardcore_quit_diff3	Na střední obtížnost	5	3
endless_hardcore_quit_diff4	Na těžkou obtížnost	5	3
endless_hardcore_quit_diff5	Na nejtěžší obtížnost	5	3
endless_hardcore_duration_total	Dohromady	5	4
endless_hardcore_duration_diff1	Na nejjednodušší obtížnost	5	4
endless_hardcore_duration_diff2	Na jednoduchou obtížnost	5	4
endless_hardcore_duration_diff3	Na střední obtížnost	5	4
endless_hardcore_duration_diff4	Na těžkou obtížnost	5	4
endless_hardcore_duration_diff5	Na nejtěžší obtížnost	5	4
endless_hardcore_lost_duration	V prohraných hrách	5	4
endless_hardcore_quit_duration	V přerušených hrách	5	4
endless_hardcore_longest_total	Celkově	5	5
endless_hardcore_longest_diff1	Na nejjednodušší obtížnost	5	5
endless_hardcore_longest_diff2	Na jednoduchou obtížnost	5	5
endless_hardcore_longest_diff3	Na střední obtížnost	5	5
endless_hardcore_longest_diff4	Na těžkou obtížnost	5	5
endless_hardcore_longest_diff5	Na nejtěžší obtížnost	5	5
endless_hardcore_lost_longest	Prohraná hra	5	5
endless_hardcore_quit_longest	Přerušená hra	5	5
free_played_total	Dohromady	6	1
free_played_diff1	Na nejjednodušší obtížnost	6	1
free_played_diff2	Na jednoduchou obtížnost	6	1
free_played_diff3	Na střední obtížnost	6	1
free_played_diff4	Na těžkou obtížnost	6	1
free_played_diff5	Na nejtěžší obtížnost	6	1
free_lost_total	Dohromady	6	2
free_lost_diff1	Na nejjednodušší obtížnost	6	2
free_lost_diff2	Na jednoduchou obtížnost	6	2
free_lost_diff3	Na střední obtížnost	6	2
free_lost_diff4	Na těžkou obtížnost	6	2
free_lost_diff5	Na nejtěžší obtížnost	6	2
free_died_falls	Padáním ze schodů		6	2
free_died_punched	Umlácením hráče	6	2
free_died_trips	Zakopáváním	6	2
free_died_player_fled	Odchodem	6	2
free_died_customer	Umlácením zákazníka	6	2
free_died_mugs	Rozbitím všech půllitrů	6	2
free_quit_total	Dohromady	6	3
free_quit_diff1	Na nejjednodušší obtížnost	6	3
free_quit_diff2	Na jednoduchou obtížnost	6	3
free_quit_diff3	Na střední obtížnost	6	3
free_quit_diff4	Na těžkou obtížnost	6	3
free_quit_diff5	Na nejtěžší obtížnost	6	3
free_duration_total	Dohromady	6	4
free_duration_diff1	Na nejjednodušší obtížnost	6	4
free_duration_diff2	Na jednoduchou obtížnost	6	4
free_duration_diff3	Na střední obtížnost	6	4
free_duration_diff4	Na těžkou obtížnost	6	4
free_duration_diff5	Na nejtěžší obtížnost	6	4
free_lost_duration	V prohraných hrách	6	4
free_quit_duration	V přerušených hrách	6	4
free_longest_total	Celkově	6	5
free_longest_diff1	Na nejjednodušší obtížnost	6	5
free_longest_diff2	Na jednoduchou obtížnost	6	5
free_longest_diff3	Na střední obtížnost	6	5
free_longest_diff4	Na těžkou obtížnost	6	5
free_longest_diff5	Na nejtěžší obtížnost	6	5
free_lost_longest	Prohraná hra	6	5
free_quit_longest	Přerušená hra	6	5
steps_total	Kroků	7	1
trips_total	Zakopnutí	7	1
falls_total	Pádů ze schodů	7	1
player_hits	Dohromady	7	2
most_player_hits	Nejvíc za jednu hru	7	2
customers_total	Přišlo	8	1
customers_most	Nejvíc za jednu hru	8	1
fled_total	Odešlo	8	1
happy_total	Spokojených	8	1
thrown_total	Vyhozených	8	1
hurt_total	Příliš zraněných	8	1
stunned_total	Omráčených	8	1
helpers_total	Dohromady	8	2
pourers_total	Točilo	8	2
givers_total	Roznášelo pití	8	2
cleaners_total	Odnášelo špinavé půllitry	8	2
barrelers_total	Nosilo nové sudy	8	2
emptiers_total	Odnášelo prázdné sudy	8	2
throwers_total	Vyhazovalo ožraly	8	2
calmers_total	Pacifikovalo agresivní zákazníky	8	2
roamers_total	Ožralů	8	3
chasers_total	Agresivních	8	3
slept_total	Usnulo	8	3
patient_total	Nejtrpělivější zákazník čekal	8	3
most_beers_total	Nejvíc vypitých půllitrů na zákazníka	8	3
longest_total	Nejdéle přítomný zákazník	8	3
most_queued	Nejvíc zákazníků ve frontě najednou	8	3
puked_total	Dohromady se poblilo	8	3
puked_most	Nejvíc za jednu hru	8	3
most_hits	Nejvíckrát praštěný zákazník	8	3
player_stunned_total	Dohromady	8	4
player_stunned_roaming	Ožralých	8	4
player_stunned_chasing	Naštvaných	8	4
player_stunned_fleeing	Odcházejících	8	4
player_stunned_hurting	Utíkajících	8	4
player_stunned_waiting	Čekajících	8	4
customer_stunned_total	Dohromady	8	5
customer_stunned_roaming	Ožralých	8	5
customer_stunned_chasing	Naštvaných	8	5
customer_stunned_fleeing	Odcházejících	8	5
customer_stunned_hurting	Utíkajících	8	5
customer_stunned_waiting	Čekajících	8	5
customer_stunned_drinking	Pijících	8	5
money	Aktuálně k dispozici	9	1
money_total	Celkem vyděláno	9	1
earned_most	Nejvíc za jednu hru	9	1
most_paid	Nejvíc od jednoho zákazníka	9	1
gratuity	Dohromady	9	2
most_gratuity_once	Největší jednorázové dýško od jednoho zákazníka	9	2
most_gratuity_total	Nejvíc na dýškách od jednoho zákazníka za celou hru	9	2
jukebox_earned_total	Dohromady	9	3
jukebox_earned_once	Nejvíc za jednu hru	9	3
jukebox_earned_most	Nejvíc od jednoho zákazníka	9	3
jukebox_played_total	Zaznělo skladeb	10
jukebox_played_player	Puštěno hráčem	10
jukebox_played_customers	Puštěno zákazníky	10
jukebox_played_duration	Celková délka všech skladeb	10
washed_total	Umyté	11
dirty_left_total	Zbylé odložené	11
broken_total	Rozbité	11
broken_nonempty	Z toho natočené	11
fallen_total	Rozbité	12
fallen_nonempty	Z toho plné	12
replaced_total	Vyměněné	12
mess1	Z rozbitého nádobí	13
mess2	Z rozlitého pití	13
mess3	Ze zvratků	13
dried	Zaschlo	13
served_total	Dohromady	14	1
served_most	Nejvíc za jednu hru	14	1
served_correct	Správných	14	1
single_drinks	Jednodruhových	14	1
mixed_drinks	Míchaných	14	1
mistakes_total	Špatných	14	1
dirty_drinks	Ve špinavém půllitru	14	1
undermeasures	Podmíráků	14	1
